"TOA5","29298","CR1000","29298","CR1000.Std.32.03","CPU:CSAT_Licor_Logger_v23.CR1","51089","covAVG"
"TIMESTAMP","CovDATA_Avg(1)","CovDATA_Avg(2)","CovDATA_Avg(3)","CovDATA_Avg(4)","CovDATA_Avg(5)","CovDATA_Avg(6)","CovDATA_Avg(7)","CovDATA_Avg(8)","CovDATA_Avg(9)","CovDATA_Avg(10)","CovDATA_Avg(11)","CovDATA_Avg(12)","CovDATA_Avg(13)","CovDATA_Avg(14)","CovDATA_Avg(15)","CovDATA_Avg(16)","CovDATA_Avg(17)","CovDATA_Avg(18)","CovDATA_Avg(19)","CovDATA_Avg(20)","CovDATA_Avg(21)","CovDATA_Avg(22)","CovDATA_Avg(23)","CovDATA_Avg(24)","CovDATA_Avg(25)","CovDATA_Avg(26)","CovDATA_Avg(27)","CovDATA_Avg(28)","CovDATA_Avg(29)","CovDATA_Avg(30)","CovDATA_Avg(31)","CovDATA_Avg(32)","CovDATA_Avg(33)","CovDATA_Avg(34)","CovDATA_Avg(35)","CovDATA_Avg(36)","CovDATA_Avg(37)"
"TS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-09-19 14:00:00",0.88,-0.145,-0.025,-0.03,-0.131,-0.091,1.203,-0.093,-0.148,-0.103,-0.279,0.168,0.052,0.039,0.104,0.316,0.338,0.711,1.151,2.797,0.007,28.64,22.91,29.69,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 14:30:00",0.822,-0.117,-0.033,-0.043,-0.122,-0.129,0.934,-0.08,-0.076,-0.048,-0.198,0.14,0.034,0.021,0.082,0.23,0.28,0.611,0.992,2.891,-0.003,29,23.24,29.8,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 15:00:00",1.168,-0.27,-0.056,-0.044,-0.169,-0.124,1.308,-0.077,-0.074,-0.063,-0.161,0.19,0.037,0.03,0.096,0.239,0.314,0.645,1.155,2.986,-0.004,29.54,23.97,29.77,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 15:30:00",0.81,0.009,-0.043,-0.046,-0.186,-0.137,0.843,-0.084,-0.064,-0.073,-0.169,0.151,0.035,0.032,0.101,0.227,0.366,0.682,0.915,2.707,-0.004,29.89,24.42,29.65,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 16:00:00",0.74,-0.152,-0.03,-0.004,-0.121,-0.116,0.892,-0.044,-0.05,-0.024,-0.228,0.126,0.016,0.009,0.094,0.159,0.299,0.798,1.003,2.236,0.008,30.46,25.03,29.16,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 16:30:00",0.827,-0.061,-0.045,0.006,-0.077,-0.18,0.748,-0.052,-0.019,-0.039,-0.127,0.139,0.001,0.003,0.084,0.11,0.225,0.674,1.228,2.066,-0.001,30.52,25.12,27.9,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 17:00:00",0.376,-0.095,-0.025,0.01,-0.049,-0.051,0.475,-0.034,-0.019,-0.028,-0.117,0.077,-0.001,0.006,0.065,0.102,0.22,0.711,0.988,1.503,0,30.61,25.24,28.23,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 17:30:00",0.359,-0.026,-0.019,0.013,-0.081,-0.097,0.316,-0.023,0,-0.012,-0.083,0.066,-0.006,-0.007,0.059,0.091,0.347,0.697,0.62,1.714,-0.002,30.75,25.54,28.6,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 18:00:00",0.17,-0.018,-0.009,-0.005,0.038,0.018,0.22,-0.017,0.025,0.05,-0.114,0.04,-0.011,-0.047,0.039,0.151,0.594,0.628,-0.34,1.756,0.021,30.63,25.79,29.09,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-19 18:30:00",0.092,0.005,0,-0.006,-0.013,0.009,0.142,-0.007,0.027,0.026,-0.07,0.021,-0.007,-0.021,0.02,0.213,0.494,0.543,-0.106,1.124,0,30.43,25.43,29.48,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
